sangfroidperilouslicentiousebullientabasement
abated	{'Verb': ['make less active or intense', 'become less in amount or intensity']}
indecipherable	{'Adjective': ['not easily deciphered', 'impossible to determine the meaning of']}
indemnify	{'Verb': ['secure against future loss, damage, or liability; give security for', 'make amends for; pay compensation for']}
indeterminable	{'Adjective': ['not capable of being definitely decided or ascertained', 'incapable of being definitely ascertained or calculated']}
indeterminate	{'Adjective': ['not precisely determined or established; not fixed or known in advance', 'having a capacity for continuing to grow at the apex', 'of uncertain or ambiguous nature', 'or indeterminate', '(of a quantity', 'not leading to a definite ending or result']}
indifference	{'Noun': ['unbiased impartial unconcern', 'apathy demonstrated by an absence of emotional reactions', 'the trait of lacking enthusiasm for or interest in things generally', 'the trait of remaining calm and seeming not to care; a casual lack of concern']}
indignant	{'Adjective': ['angered at something unjust or wrong']}
indisputably
indolence	{'Noun': ['inactivity resulting from a dislike of work']}
ineffectual	{'Adjective': ['not producing an intended effect', 'producing no result or effect', 'lacking in power or forcefulness']}
ineptness	{'Noun': ['unskillfulness resulting from a lack of training', 'the quality of having the wrong properties for a specific purpose']}
inevitably	{'Adverb': ['in such a manner as could not be otherwise', 'by necessity']}
inexorably	{'Adverb': ['in an inexorable manner']}
infinitesimal	{'Noun': ['(mathematics'], 'Adjective': ['infinitely or immeasurably small']}
infirmity	{'Noun': ['the state of being weak in health or body (especially from old age']}
infuses	{'Verb': ['teach and impress by frequent repetitions or admonitions', 'fill, as with a certain quality', 'undergo the process of infusion', 'let sit in a liquid to extract a flavor or to cleanse', 'introduce into the body through a vein, for therapeutic purposes']}
ingenious	{'Adjective': ['showing inventiveness and skill']}
ingenuity	{'Noun': ['the power of creative imagination', 'the property of being ingenious']}
ingenuous	{'Adjective': ['characterized by an inability to mask your feelings; not devious', 'lacking in sophistication or worldliness']}
inherently	{'Adverb': ['in an inherent manner']}
inimical	{'Adjective': ['not friendly']}
injecting	{'Verb': ['give an injection to', 'to introduce (a new aspect or element', 'force or drive (a fluid or gas', 'take by injection', 'feed intravenously', 'to insert between other elements']}
inkling	{'Noun': ['a slight suggestion or vague understanding']}
innocuous	{'Adjective': ['not injurious to physical or mental health', 'not causing disapproval', 'lacking intent or capacity to injure']}
innovative	{'Adjective': ['ahead of the times', 'being or producing something like nothing done or experienced or created before']}
innuendos	{'Noun': ['an indirect (and usually malicious']}
innumerable	{'Adjective': ['too numerous to be counted']}
inquisitions	{'Noun': ['a former tribunal of the Roman Catholic Church (1232-1820', 'a severe interrogation (often violating the rights or privacy of individuals']}
inscribing	"{'Verb': ['carve, cut, or etch into a material or surface', 'register formally as a participant or member', 'draw within a figure so as to touch in as many places as possible', 'write, engrave, or print as a lasting record', ""mark with one's signature"", 'convert ordinary language into code', 'address, (a work of literature']}"
insensibly	{'Adverb': ['in a numb manner; without feeling']}
insidious	{'Adjective': ['beguiling but harmful', 'intended to entrap', 'working or spreading in a hidden and usually injurious way']}
insightful	{'Adjective': ['exhibiting insight or clear and deep perception']}
insights	{'Noun': ['clear or deep perception of a situation', 'a feeling of understanding', 'the clear (and often sudden', 'grasping the inner nature of things intuitively']}
insinuated	{'Verb': ['introduce or insert (oneself', 'give to understand']}
insipid	{'Adjective': ['lacking taste or flavor or tang', 'lacking interest or significance or impact']}
insolent	{'Adjective': ['marked by casual disrespect', 'unrestrained by convention or propriety']}
insolvent	{'Noun': ['someone who has insufficient assets to cover their debts'], 'Adjective': ['unable to meet or discharge financial obligations']}
insouciance	{'Noun': ['the cheerful feeling you have when nothing is troubling you']}
instigating	{'Verb': ['provoke or stir up', 'serve as the inciting cause of']}
instigation	{'Noun': ['the verbal act of urging on', 'deliberate and intentional triggering (of trouble or discord']}
insurmountable	{'Adjective': ['not capable of being surmounted or overcome', 'impossible to surmount']}
intentions	{'Noun': ['an anticipated outcome that is intended or that guides your planned actions', '(usually plural', 'an act of intending; a volition that you intend to carry out']}
inter	{'Verb': ['place in a grave or tomb']}
interlocutors	{'Noun': ['the performer in the middle of a minstrel line who engages the others in talk', 'a person who takes part in a conversation']}
interlude	{'Noun': ['an intervening period or episode', 'a brief show (music or dance etc'], 'Verb': ['perform an interlude']}
interpolate	{'Verb': ['estimate the value of', 'insert words into texts, often falsifying it thereby']}
interspersed	"{'Verb': ['place at intervals in or among', ""introduce one's writing or speech with certain expressions""]}"
intransigence	{'Noun': ['the trait of being intransigent; stubbornly refusing to compromise']}
intrepid	{'Adjective': ['invulnerable to fear or intimidation']}
inundates	{'Verb': ['fill quickly beyond capacity; as with a liquid', 'fill or cover completely, usually with water']}
inured	{'Verb': ['cause to accept or become hardened to; habituate'], 'Adjective': ['made tough by habitual exposure']}
inviegle
investiture	{'Noun': ['the ceremony of installing a new monarch', 'the ceremonial act of clothing someone in the insignia of an office; the formal promotion of a person to an office or rank']}
iota	{'Noun': ['a tiny or scarcely detectable amount', 'the 9th letter of the Greek alphabet']}
irascible	{'Adjective': ['quickly aroused to anger', 'characterized by anger']}
irate	{'Adjective': ['feeling or showing extreme anger']}
ironically	{'Adverb': ['contrary to plan or expectation', 'in an ironic manner']}
irony	{'Noun': ['witty language used to convey insults or scorn', 'incongruity between what might be expected and what actually occurs', 'a trope that involves incongruity between what is expected and what occurs']}
irredeemable	{'Adjective': ['insusceptible of reform', '(of paper money']}
irrefutable	{'Adjective': ['impossible to deny or disprove']}
iteration	{'Noun': ['(computer science', '(computer science', 'doing or saying again; a repeated performance']}
iterative	{'Noun': ['the aspect of the verb that expresses the repetition of an action'], 'Adjective': ['marked by iteration']}
jaundiced	{'Verb': ['distort adversely', 'affect with, or as if with, jaundice'], 'Adjective': ['affected by jaundice which causes yellowing of skin etc', 'showing or affected by prejudice or envy or distaste']}
jeopardize	{'Verb': ['pose a threat to; present a danger to', 'put at risk']}
jibes	{'Noun': ['an aggressive remark directed at a person like a missile and intended to have a telling effect'], 'Verb': ['be compatible, similar or consistent; coincide in their characteristics', 'shift from one side of the ship to the other']}
jingoistic	{'Adjective': ['fanatically patriotic']}
joviality	{'Noun': ['feeling jolly and jovial and full of good humor', 'a jovial nature']}
jurisprudent
keen	{'Noun': ['a funeral lament sung with loud wailing'], 'Verb': ['express grief verbally'], 'Adjective': ['having or demonstrating ability to recognize or draw fine distinctions', 'intense or sharp', 'very good', 'painful as if caused by a sharp instrument', 'having a sharp cutting edge or point']}
kinetic	{'Adjective': ['relating to the motion of material bodies and the forces associated therewith', 'characterized by motion', 'supplying motive force']}
kudos	{'Noun': ['an expression of approval and commendation']}
labile	{'Adjective': ['(chemistry, physics, biology', 'liable to change']}
labyrinthine	{'Adjective': ['relating to or affecting or originating in the inner ear', 'resembling a labyrinth in form or complexity']}
lackey	{'Noun': ['a male servant (especially a footman', 'a person who tries to please someone in order to gain a personal advantage']}
lackluster	{'Adjective': ['lacking brilliance or vitality', 'lacking luster or shine']}
laconic	{'Adjective': ['brief and to the point; effectively cut short']}
language	{'Noun': ['a systematic means of communicating by the use of sounds or conventional symbols', '(language', 'the text of a popular song or musical-comedy number', 'the cognitive processes involved in producing and understanding linguistic communication', 'the mental faculty or power of vocal communication', 'a system of words used to name things in a particular discipline']}
languid	{'Adjective': ['lacking spirit or liveliness']}
lapses	"{'Noun': ['a mistake resulting from inattention', 'a break or intermission in the occurrence of something', 'a failure to maintain a higher state'], 'Verb': ['pass into a specified state or condition', 'end, at least for a long time', ""drop to a lower level, as in one's morals or standards"", 'go back to bad behavior', 'let slip', 'pass by']}"
lard	{'Noun': ['soft white semisolid fat obtained by rendering the fatty tissue of the hog'], 'Verb': ['prepare or cook with lard', 'add details to']}
lascivious	{'Adjective': ['driven by lust; preoccupied with or exhibiting lustful desires']}
lassitude	{'Noun': ['a state of comatose torpor (as found in sleeping sickness', 'a feeling of lack of interest or energy', 'weakness characterized by a lack of vitality or energy']}
laud	{'Verb': ['praise, glorify, or honor']}
laudable	{'Adjective': ['worthy of high praise']}
laudatory	{'Adjective': ['full of or giving praise']}
laurels	{'Noun': ['any of various aromatic trees of the laurel family', 'United States slapstick comedian (born in England', '1890-1965', '(antiquity', 'a tangible symbol signifying approval or distinction', 'the state of being honored']}
lavishness	{'Noun': ['the quality possessed by something that is excessively expensive', 'excessive spending']}
lax	"{'Adjective': ['lacking in rigor or strictness', ""pronounced with muscles of the tongue and jaw relatively relaxed (e.g., the vowel sound in `bet'"", 'lacking in firmness or tension; not taut', 'emptying easily or excessively']}"
laxity	{'Noun': ['the condition of being physiologically lax', 'the quality of being lax and neglectful']}
leery	{'Adjective': ['openly distrustful and unwilling to confide']}
legume	{'Noun': ['an erect or climbing bean or pea plant of the family Leguminosae', 'the fruit or seed of any of various bean or pea plants consisting of a case that splits along both sides when ripe and having the seeds attach to one side of the case', 'the seedpod of a leguminous plant (such as peas or beans or lentils']}
leitmotifs	"{'Noun': [""a melodic phrase that accompanies the reappearance of a person or situation (as in Wagner's operas""]}"
licentious	{'Adjective': ['lacking moral discipline; especially sexually unrestrained']}
limelight	{'Noun': ['a focus of public attention', 'a lamp consisting of a flame directed at a cylinder of lime with a lens to concentrate the light; formerly used for stage lighting']}
lionize	{'Verb': ['assign great social importance to']}
lissome	{'Adjective': ['gracefully thin and bending and moving with ease']}
listlessly	{'Adverb': ['in a listless manner']}
literary	{'Adjective': ['of or relating to or characteristic of literature', 'knowledgeable about literature', 'appropriate to literature rather than everyday speech or writing']}
literati	{'Noun': ['the literary intelligentsia']}
lithe	{'Adjective': ['gracefully thin and bending and moving with ease']}
litigation	{'Noun': ['a legal proceeding in a court; a judicial contest to determine and enforce legal rights']}
loath	"{'Adjective': ['unwillingness to do something contrary to your custom', ""(usually followed by `to'""]}"
loathsome	{'Adjective': ['causing or able to cause nausea', 'highly offensive; arousing aversion or disgust']}
lofty	{'Adjective': ['of high moral or intellectual value; elevated in nature or style', 'of imposing height; especially standing out above others', 'having or displaying great dignity or nobility']}
logistical	{'Adjective': ['of or relating to logistics']}
longtime	{'Adjective': ['having existed or persisted or continued in a particular role or state for a long time']}
lubricious	{'Adjective': ['having a smooth or slippery quality', 'characterized by lust']}
lucid	{'Adjective': ['(of language', 'having a clear mind', 'capable of thinking and expressing yourself in a clear and consistent manner', 'transmitting light; able to be seen through with clarity']}
macabre	{'Adjective': ['shockingly repellent; inspiring horror']}
magnanimity	{'Noun': ['liberality in bestowing gifts; extremely liberal and generous of spirit']}
magnitude	{'Noun': ['the property of relative size or extent (whether large or small', 'a number assigned to the ratio of two quantities; two quantities are of the same order of magnitude if one is less than 10 times as large as the other; the number of magnitudes that the quantities differ is specified to within a power of 10', 'relative importance']}
maladies	{'Noun': ['any unwholesome or desperate condition', 'impairment of normal physiological function affecting part or all of an organism']}
maladjusted	{'Adjective': ['poorly adjusted to demands and stresses of daily living', 'emotionally unstable and having difficulty coping with personal relationships', 'not well adjusted']}
maladroitness	{'Noun': ['unskillfulness resulting from a lack of training']}
malicious	{'Adjective': ['having the nature of or resulting from malice']}
malign	{'Verb': ['speak unfavorably about'], 'Adjective': ['evil or harmful in nature or influence', 'having or exerting a malignant influence']}
malleable	{'Adjective': ['easily influenced', 'capable of being shaped or bent or drawn out']}
manacled	{'Verb': ['confine or restrain with or as if with manacles or handcuffs']}
manifest	"{'Noun': ['a customs document listing the contents put on a ship or plane'], 'Verb': [""provide evidence for; stand as proof of; show by one's behavior, attitude, or external attributes"", ""record in a ship's manifest"", 'reveal its presence or make an appearance'], 'Adjective': ['clearly revealed to the mind or the senses or judgment']}"
manumit	{'Verb': ['free from slavery or servitude']}
marginalize	{'Verb': ['relegate to a lower or outer edge, as of specific groups of people']}
martial	{'Noun': ['Roman poet noted for epigrams (first century BC'], 'Adjective': ['(of persons', 'suggesting war or military life', 'of or relating to the armed forces']}
maudlin	{'Adjective': ['effusively or insincerely emotional']}
maxim	{'Noun': ['a saying that is widely accepted on its own merits', 'English inventor (born in the United States', '1840-1916']}
mead	{'Noun': ['United States anthropologist noted for her claims about adolescence and sexual behavior in Polynesian cultures (1901-1978', 'United States philosopher of pragmatism (1863-1931', 'made of fermented honey and water']}
meddlesome	{'Adjective': ['intrusive in a meddling or offensive manner']}
medley	{'Noun': ['a musical composition consisting of a series of songs or other musical pieces from various sources']}
melancholy	{'Noun': ['a feeling of thoughtful sadness', 'a constitutional tendency to be gloomy and depressed', 'a humor that was once believed to be secreted by the kidneys or spleen and to cause sadness and melancholy'], 'Adjective': ['characterized by or causing or expressing sadness', 'grave or even gloomy in character']}
melange	{'Noun': ['a motley assortment of things']}
mellifluous	{'Adjective': ['pleasing to the ear']}
menacing	{'Verb': ['pose a threat to; present a danger to', 'express a threat either by an utterance or a gesture', 'act in a threatening manner'], 'Adjective': ['threatening or foreshadowing evil or tragic developments']}
mendacious	{'Adjective': ['given to lying', 'intentionally untrue']}
mercantilist
mercenary	{'Noun': ['a person hired to fight for another country than their own'], 'Adjective': ['marked by materialism', 'serving for wages in a foreign army', 'profit oriented']}
mercurial	{'Adjective': ['liable to sudden unpredictable change', 'relating to or under the (astrological', 'relating to or having characteristics (eloquence, shrewdness, swiftness, thievishness', 'relating to or containing or caused by mercury']}
messianic	{'Adjective': ['of or relating to a messiah promising deliverance']}
metastasize	{'Verb': ['spread throughout the body']}
meticulous	{'Adjective': ['marked by precise accordance with details', 'marked by extreme care in treatment of details']}
meticulousness	{'Noun': ['strict attention to minute details']}
militant	{'Noun': ['a militant reformer'], 'Adjective': ['disposed to warfare or hard-line policies', 'showing a fighting disposition', 'engaged in war', 'or warring']}
millennia	"{'Noun': ['a span of 1000 years', '(New Testament', ""e.g. Jehovah's Witnesses"", 'the 1000th anniversary (or the celebration of it']}"
mimetic	{'Adjective': ['characterized by or of the nature of or using mimesis', 'exhibiting mimicry']}
mindfulness	{'Noun': ['the trait of staying aware of (paying close attention to']}
minuscule	"{'Noun': [""the characters that were once kept in bottom half of a compositor's type case"", 'a small cursive script developed from uncial between the 7th and 9th centuries and used in medieval manuscripts'], 'Adjective': ['of or relating to a small cursive script developed from uncial; 7th to 9th centuries', 'lowercase', 'extremely small']}"
minutiae	{'Noun': ['a small or minor detail']}
mirthful	{'Adjective': ['full of or showing high-spirited merriment', 'arousing or provoking laughter']}
mishmash	{'Noun': ['a motley assortment of things']}
misnomers	{'Noun': ['an incorrect or unsuitable name']}
mitigate	{'Verb': ['lessen or to try to lessen the seriousness or extent of', 'make less severe or harsh']}
mitigation	{'Noun': ['to act in such a way as to cause an offense to seem less serious', 'a partial excuse to mitigate censure; an attempt to represent an offense as less serious than it appears by showing mitigating circumstances', 'the action of lessening in severity or intensity']}
moderate	{'Noun': ['a person who takes a position in the political center'], 'Verb': ['preside over', 'make less fast or intense', 'lessen the intensity of; temper; hold in restraint; hold or keep within limits', 'make less severe or harsh', 'make less strong or intense; soften', 'make more temperate, acceptable, or suitable by adding something else'], 'Adjective': ['being within reasonable or average limits; not excessive or extreme', 'not extreme', 'marked by avoidance of extravagance or extremes']}
modicum	{'Noun': ['a small or moderate or token amount']}
modishness	{'Noun': ['elegance by virtue of being fashionable']}
mollifies	{'Verb': ['cause to be more favorably inclined; gain the good will of', 'make more temperate, acceptable, or suitable by adding something else', 'make less rigid or softer']}
momentum	"{'Noun': ['an impelling force or strength', ""the product of a body's mass and its velocity""]}"
mongers	{'Noun': ['someone who purchases and maintains an inventory of goods to be sold'], 'Verb': ['sell or offer for sale from place to place']}
monolithic	{'Adjective': ['imposing in size or bulk or solidity', 'characterized by massiveness and rigidity and total uniformity']}
monological
moot	{'Noun': ['a hypothetical case that law students argue as an exercise'], 'Verb': ['think about carefully; weigh'], 'Adjective': ['of no legal significance (as having been previously decided', 'open to argument or debate']}
moralizing	{'Noun': ['indulgence in moral pronouncements; the exposition (often superficially'], 'Verb': ['interpret the moral meaning of', 'speak as if delivering a sermon; express moral judgements', 'improve the morals of']}
morbidities	{'Noun': ['the relative incidence of a particular disease', 'an abnormally gloomy or unhealthy state of mind', 'the quality of being unhealthful and generally bad for you']}
mordant	{'Noun': ['a substance used to treat leather or other materials before dyeing; aids in dyeing process'], 'Adjective': ['harshly ironic or sinister', 'of a substance, especially a strong acid; capable of destroying or eating away by chemical action']}
mores	"{'Noun': [""English statesman who opposed Henry VIII's divorce from Catherine of Aragon and was imprisoned and beheaded; recalled for his concept of Utopia, the ideal state"", '(sociology']}"
moribund	{'Adjective': ['not growing or changing; without force or vitality', 'being on the point of death; breathing your last']}
morose	{'Adjective': ['showing a brooding ill humor']}
mote	{'Noun': ['(nontechnical usage']}
motivation	{'Noun': ['the psychological feature that arouses an organism to action toward a desired goal; the reason for the action; that which gives purpose and direction to behavior', 'the condition of being motivated', 'the act of motivating; providing incentive']}
motley	"{'Noun': ['a collection containing a variety of sorts of things', ""a garment made of motley (especially a court jester's costume"", 'a multicolored woolen fabric woven of mixed threads in 14th to 17th century England'], 'Verb': ['make something more diverse and varied', 'make motley; color with different colors'], 'Adjective': ['consisting of a haphazard assortment of different kinds', 'having sections or patches colored differently and usually brightly']}"
mummified	{'Verb': ['preserve while making lifeless', 'remove the organs and dry out (a dead body', 'dry up and shrivel due to complete loss of moisture']}
mundane	{'Adjective': ['found in the ordinary course of events', 'concerned with the world or worldly matters', 'belonging to this earth or world; not ideal or heavenly']}
munificent	{'Adjective': ['very generous']}
munitions	{'Noun': ['weapons considered collectively', 'military supplies', 'defensive structure consisting of walls or mounds built around a stronghold to strengthen it'], 'Verb': ['supply with weapons']}
musings	{'Noun': ['a calm, lengthy, intent consideration']}
mutiny	{'Noun': ['open rebellion against constituted authority (especially by seamen or soldiers against their officers'], 'Verb': ['engage in a mutiny against an authority']}
myopic	{'Adjective': ['unable to see distant objects clearly', 'lacking foresight or scope']}
myriad	{'Noun': ['a large indefinite number', 'the cardinal number that is the product of ten and one thousand'], 'Adjective': ['too numerous to be counted']}
mystics	{'Noun': ['someone who believes in the existence of realities beyond human comprehension']}
nadir	{'Noun': ['an extreme state of adversity; the lowest point of anything', 'the point below the observer that is directly opposite the zenith on the imaginary sphere against which celestial bodies appear to be projected']}
naive	{'Adjective': ['marked by or showing unaffected simplicity and lack of guile or worldly experience', 'of or created by one without formal training; simple or naive in style', 'inexperienced', 'lacking information or instruction', 'not initiated; deficient in relevant experience']}
narcissists	{'Noun': ['someone in love with themselves']}
nascent	{'Adjective': ['being born or beginning']}
national	{'Noun': ['a person who owes allegiance to that nation'], 'Adjective': ['of or relating to or belonging to a nation or country', 'limited to or in the interests of a particular nation', 'concerned with or applicable to or belonging to an entire nation or country', 'owned or maintained for the public by the national government', 'inside the country', 'characteristic of or peculiar to the people of a nation', 'of or relating to nationality']}
nave	{'Noun': ['the central area of a church']}
neanderthals	{'Noun': ['extinct robust human of Middle Paleolithic in Europe and western Asia']}
nebulous	{'Adjective': ['lacking definite form or limits', 'of or relating to or resembling a nebula', 'lacking definition or definite content']}
negating	{'Verb': ['be in contradiction with', 'deny the truth of', 'prove negative; show to be false', 'make ineffective by counterbalancing the effect of']}
nemesis	{'Noun': ['(Greek mythology', 'something causing misery or death']}
nettled	{'Verb': ['sting with or as with nettles and cause a stinging pain or sensation', 'cause annoyance in; disturb, especially by minor irritations'], 'Adjective': ['aroused to impatience or anger']}
nonchalance	{'Noun': ['the trait of remaining calm and seeming not to care; a casual lack of concern']}
nonplussed	{'Verb': ['be a mystery or bewildering to'], 'Adjective': ['filled with bewilderment']}
normalizing	{'Verb': ['become normal or return to its normal state', 'make normal or cause to conform to a norm or standard', 'bring to a desired consistency, texture, or hardness by a process of gradually heating and cooling']}
nose	{'Noun': ['the organ of smell and entrance to the respiratory tract; the prominent part of the face of man or other mammals', 'a front that resembles a human nose (especially the front of an aircraft', 'the front or forward projection of a tool or weapon', 'a small distance', 'a symbol of inquisitiveness', 'the sense of smell (especially in animals', 'a natural skill', 'a projecting spout from which a fluid is discharged'], 'Verb': ['search or inquire in a meddlesome way', 'advance the forward part of with caution', 'catch the scent of; get wind of', 'push or move with the nose', 'rub noses', 'defeat by a narrow margin']}
notorious	{'Adjective': ['known widely and usually unfavorably']}
novel	{'Noun': ['an extended fictional work in prose; usually in the form of a story', 'a printed and bound book that is an extended work of fiction'], 'Adjective': ['original and of a kind not seen before', 'pleasantly new or different']}
novice	{'Noun': ['someone who has entered a religious order but has not taken final vows', 'someone new to a field or activity']}
noxious	{'Adjective': ['injurious to physical or mental health']}
nugatory	{'Adjective': ['of no real value']}
obliterated	{'Verb': ['mark for deletion, rub off, or erase', 'make undecipherable or imperceptible by obscuring or concealing', 'remove completely from recognition or memory', 'do away with completely, without leaving a trace'], 'Adjective': ['reduced to nothingness']}
obloquies
obscure	{'Verb': ['make less visible or unclear', 'make unclear, indistinct, or blurred', 'make obscure or unclear', 'reduce a vowel to a neutral one, such as a schwa', 'make undecipherable or imperceptible by obscuring or concealing'], 'Adjective': ['not clearly expressed or understood', 'marked by difficulty of style or expression', 'difficult to find', 'not famous or acclaimed', 'not drawing attention', 'remote and separate physically or socially']}
obsequious	{'Adjective': ['attempting to win favor from influential people by flattery', 'attentive in an ingratiating or servile manner']}
obtuse	{'Adjective': ['of an angle; between 90 and 180 degrees', '(of a leaf shape', 'lacking in insight or discernment', 'slow to learn or understand; lacking intellectual acuity']}
obviate	{'Verb': ['do away with', 'prevent the occurrence of; prevent from happening']}
ode	{'Noun': ['a lyric poem with complex stanza forms']}
officious	{'Adjective': ['intrusive in a meddling or offensive manner']}
ominously	{'Adverb': ['in an ominous manner']}
omissions	{'Noun': ['a mistake resulting from neglect', 'something that has been omitted', 'any process whereby sounds or words are left out of spoken words or phrases', 'neglecting to do something; leaving out or passing over something']}
omnipotent	{'Adjective': ['having unlimited power']}
onerous	{'Adjective': ['not easily borne; wearing']}
opportunism	{'Noun': ['taking advantage of opportunities without regard for the consequences for others']}
opprobrium	{'Noun': ['state of disgrace resulting from public abuse', 'a state of extreme dishonor']}
opulent	{'Adjective': ['ostentatiously rich and superior in quality']}
orthodox	{'Adjective': ['of or pertaining to or characteristic of Judaism', 'adhering to what is commonly accepted', 'of or relating to or characteristic of the Eastern Orthodox Church']}
orthodoxy	{'Noun': ['the quality of being orthodox (especially in religion', 'a belief or orientation agreeing with conventional standards']}
ostensibly	{'Adverb': ['from appearances alone']}
ostentatious	{'Adjective': ['intended to attract notice and impress others', '(of a display']}
ostracize	{'Verb': ['expel from a community or group', 'avoid speaking to or dealing with']}
oust	{'Verb': ['remove from a position or office', 'remove and replace']}
outright	{'Adjective': ['without reservation or exception'], 'Adverb': ['without restrictions or stipulations or further payments', 'without reservation or concealment', 'without any delay']}
override	{'Noun': ['a manually operated device to correct the operation of an automatic device', 'the act of nullifying; making null and void; counteracting or overriding the effect or force of something'], 'Verb': ['rule against', 'prevail over', 'counteract the normal operation of (an automatic gear shift in a vehicle', 'ride (a horse']}
overseer	{'Noun': ['a person who directs and manages an organization']}
overt	{'Adjective': ['open and observable; not secret or hidden']}
pacific	{'Noun': ['the largest ocean in the world'], 'Adjective': ['relating to or bordering the Pacific Ocean', 'disposed to peace or of a peaceful nature', 'promoting peace']}
pacifist	{'Noun': ['someone opposed to violence as a means of settling disputes'], 'Adjective': ['opposed to war']}
paean	{'Noun': ['a formal expression of praise', '(ancient Greece', 'especially one sung in ancient Greece to invoke or thank a deity']}
painstaking	{'Adjective': ['characterized by extreme care and great effort']}
palatable	{'Adjective': ['acceptable to the taste or mind']}
pale	{'Noun': ['a wooden strip forming part of a fence'], 'Verb': ['turn pale, as if in fear'], 'Adjective': ['very light colored; highly diluted with white', '(of light', 'or wan', 'lacking in vitality or interest or effectiveness', 'abnormally deficient in color as suggesting physical or emotional distress', 'not full or rich']}
palettes	{'Noun': ['the range of colour characteristic of a particular artist or painting or school of art', 'board that provides a flat surface on which artists mix paints and the range of colors used', 'one of the rounded armor plates at the armpits of a suit of armor']}
palliate	{'Verb': ['lessen or to try to lessen the seriousness or extent of', 'provide physical relief, as from pain']}
pallid	{'Adjective': ['abnormally deficient in color as suggesting physical or emotional distress', '(of light', 'or wan', 'lacking in vitality or interest or effectiveness']}
panacea	{'Noun': ['(Greek mythology', 'hypothetical remedy for all ills or diseases; once sought by the alchemists']}
pander	{'Noun': ['someone who procures customers for whores (in England they call a pimp a ponce'], 'Verb': ['yield (to', 'arrange for sexual partners for others']}
panned	{'Verb': ['make a sweeping movement', 'wash dirt in a pan to separate out the precious minerals', 'express a totally negative opinion of']}
pantheon	"{'Noun': ['all the gods of a religion', ""a monument commemorating a nation's dead heroes"", '(antiquity']}"
parables	{'Noun': ['a short moral story (often with animal characters', '(New Testament']}
paradigmatic	{'Adjective': ['of or relating to a grammatical paradigm', 'of or relating to a typical example', 'related as members of a substitution class']}
paradigms	{'Noun': ['systematic arrangement of all the inflected forms of a word', 'a standard or typical example', 'the class of all items that can be substituted into the same position (or slot', 'are in paradigmatic relation with one another', 'the generally accepted perspective of a particular discipline at a given time']}
paragon	{'Noun': ['an ideal instance; a perfect embodiment of a concept', 'model of excellence or perfection of a kind; one having no equal']}
parameter	{'Noun': ['a constant in the equation of a curve that can be varied to yield a family of similar curves', 'any factor that defines a system and determines (or limits', '(computer science', 'a quantity (such as the mean or variance']}
parcel	{'Noun': ['a wrapped container', 'the allotment of some amount by dividing something', 'an extended area of land', 'a collection of things wrapped or boxed together'], 'Verb': ['divide into parts', 'cover with strips of canvas', 'make into a wrapped container']}
parlay	{'Noun': ['a series of wagers in which the winnings from one wager are used as a stake for the subsequent wagers'], 'Verb': ['stake winnings from one bet on a subsequent wager']}
parlous	{'Adjective': ['fraught with danger']}
parochial	{'Adjective': ['relating to or supported by or located in a parish', 'narrowly restricted in outlook or scope']}
parodied	{'Verb': ['make a spoof of or make fun of', 'make a parody of']}
parsimoniousness	{'Noun': ['extreme care in spending money; reluctance to spend money unnecessarily', 'extreme stinginess']}
parsimony	{'Noun': ['extreme care in spending money; reluctance to spend money unnecessarily', 'extreme stinginess']}
partiality	{'Noun': ['a predisposition to like something', 'an inclination to favor one group or view or opinion over alternatives']}
partisan	{'Noun': ['a fervent and even militant proponent of something', 'an ardent and enthusiastic supporter of some person or activity', 'a pike with a long tapering double-edged blade with lateral projections; 16th and 17th centuries'], 'Adjective': ['devoted to a cause or party']}
partisanship	{'Noun': ['an inclination to favor one group or view or opinion over alternatives']}
partition	{'Noun': ['a vertical structure that divides or separates (as a wall divides one room from another', '(computer science', '(anatomy', 'the act of dividing or partitioning; separation by the creation of a boundary that divides or keeps apart'], 'Verb': ['divide into parts, pieces, or sections', 'separate or apportion into sections']}
passable	{'Adjective': ['able to be passed or traversed or crossed', 'about average; acceptable']}
patent	{'Noun': ['a document granting an inventor sole rights to an invention', 'an official document granting a right or privilege'], 'Verb': ['obtain a patent for', 'grant rights to; grant a patent for', 'make open to sight or notice'], 'Adjective': ['(of a bodily tube or passageway', 'clearly revealed to the mind or the senses or judgment']}
paternal	"{'Adjective': [""belonging to or inherited from one's father"", 'characteristic of a father', 'relating to or characteristic of or befitting a parent', ""related on the father's side""]}"
pathologies	{'Noun': ['the branch of medical science that studies the causes and nature and effects of diseases', 'any deviation from a healthy or normal condition']}
patriarch	{'Noun': ['title for the heads of the Eastern Orthodox Churches (in Istanbul and Alexandria and Moscow and Jerusalem', 'the male head of family or tribe', 'any of the early biblical characters regarded as fathers of the human race', 'a man who is older and higher in rank than yourself']}
patrician	{'Noun': ['a person of refined upbringing and manners', 'a member of the aristocracy'], 'Adjective': ['befitting a person of noble origin', 'belonging to or characteristic of the nobility or aristocracy']}
patrons	{'Noun': ['a regular customer', 'the proprietor of an inn', 'someone who supports or champions something']}
paucity	{'Noun': ['an insufficient quantity or number']}
peasant	{'Noun': ['a country person', 'one of a (chiefly European', 'a crude uncouth ill-bred person lacking culture or refinement']}
peccadilloes	{'Noun': ['a petty misdeed']}
